Frame ID; Time; Collision Count; Red Mushroom Count; Brown Mushroom Count; RL Position X; RL Position Y; RL Position Z; Game Position X; Game Position Y; Game Position Z; Navigation State
899;00:10:24;0;0;0;-2,02935;0,9515675;-0,05320865;0;0;0;nothing
900;00:10:25;0;0;0;-2,027932;0,9519578;-0,05293292;0;0;0;nothing
901;00:10:26;0;0;0;-2,027202;0,9520966;-0,05325603;0;0;0;nothing
902;00:10:27;0;0;0;-2,025981;0,9524193;-0,05364615;0;0;0;nothing
903;00:10:28;0;0;0;-2,02477;0,9526438;-0,05432087;0;0;0;nothing
904;00:10:29;0;0;0;-2,023421;0,9527926;-0,05512643;0;0;0;nothing
905;00:10:31;0;0;0;-2,021537;0,9530687;-0,05598354;0;0;0;nothing
906;00:10:32;0;0;0;-2,019705;0,9532508;-0,05699724;0;0;0;nothing
907;00:10:33;0;0;0;-2,017791;0,9533415;-0,05811411;0;0;0;nothing
908;00:10:34;0;0;0;-2,015774;0,9534148;-0,05922306;0;0;0;nothing
909;00:10:35;0;0;0;-2,014402;0,9533921;-0,06058943;0;0;0;nothing
910;00:10:36;0;0;0;-2,012074;0,9534856;-0,06174999;0;0;0;nothing
911;00:10:37;0;0;0;-2,009762;0,9535797;-0,0628897;0;0;0;nothing
912;00:10:38;0;0;0;-2,007108;0,9537246;-0,06406206;0;0;0;nothing
913;00:10:39;0;0;0;-2,004518;0,9537876;-0,06517696;0;0;0;nothing
914;00:10:41;0;0;0;-2,002359;0,9537213;-0,06650048;0;0;0;nothing
915;00:10:42;0;0;0;-1,991721;0,9570886;-0,0658533;0;0;0;nothing
916;00:10:43;0;0;0;-1,988594;0,957152;-0,06687218;0;0;0;nothing
917;00:10:44;0;0;0;-1,985132;0,9572345;-0,06779349;0;0;0;nothing
918;00:10:45;0;0;0;-1,980261;0,9579948;-0,06806099;0;0;0;nothing
919;00:10:46;0;0;0;-1,976376;0,9582012;-0,06880552;0;0;0;nothing
920;00:10:47;0;0;0;-1,972461;0,958434;-0,06955284;0;0;0;nothing
